x	y	z
0.0	0.0	0.0
0.020202020202020204	0.1421338109037403	0.0004081216202428324
0.04040404040404041	0.20100756305184242	0.0016324864809713297
0.06060606060606061	0.24618298195866548	0.0036730945821854917
0.08080808080808081	0.2842676218074806	0.006529945923885319
0.10101010101010102	0.31782086308186414	0.010203040506070812
0.12121212121212122	0.3481553119113957	0.014692378328741967
0.14141414141414144	0.3760507165451775	0.019997959391898794
0.16161616161616163	0.40201512610368484	0.026119783695541274
0.18181818181818182	0.4264014327112209	0.03305785123966942
0.20202020202020204	0.44946657497549475	0.04081216202428325
0.22222222222222224	0.4714045207910317	0.04938271604938272
0.24242424242424243	0.49236596391733095	0.05876951331496787
0.26262626262626265	0.5124707431905383	0.06897255382103869
0.2828282828282829	0.5318160234783105	0.07999183756759518
0.30303030303030304	0.5504818825631803	0.09182736455463729
0.32323232323232326	0.5685352436149612	0.1044791347821651
0.3434343434343435	0.5860327153276884	0.11794714825017859
0.36363636363636365	0.6030226891555273	0.1322314049586777
0.38383838383838387	0.6195469181897234	0.14733190490766251
0.4040404040404041	0.6356417261637283	0.163248648097133
0.42424242424242425	0.6513389472789296	0.1799816345270891
0.4444444444444445	0.6666666666666667	0.19753086419753088
0.4646464646464647	0.6816498108607268	0.21589633710845837
0.48484848484848486	0.6963106238227914	0.23507805325987147
0.5050505050505051	0.7106690545187014	0.25507601265177027
0.5252525252525253	0.7247430753394787	0.27589021528415475
0.5454545454545455	0.7385489458759964	0.29752066115702486
0.5656565656565657	0.752101433090355	0.3199673502703807
0.5858585858585859	0.7654139963827327	0.343230282624222
0.6060606060606061	0.778498944161523	0.36730945821854916
0.6262626262626263	0.7913675671030664	0.39220487705336193
0.6464646464646465	0.8040302522073697	0.4179165391286604
0.6666666666666667	0.816496580927726	0.44444444444444453
0.686868686868687	0.8287754140107482	0.47178859300071435
0.7070707070707072	0.8408749651825218	0.4999489847974698
0.7272727272727273	0.8528028654224418	0.5289256198347108
0.7474747474747475	0.864566219253764	0.5587184981124376
0.7676767676767677	0.8761716542303613	0.5893276196306501
0.787878787878788	0.8876253645985945	0.6207529843893481
0.8080808080808082	0.8989331499509895	0.652994592388532
0.8282828282828284	0.9101004495564368	0.6860524436282014
0.8484848484848485	0.9211323729436766	0.7199265381083564
0.8686868686868687	0.9320337272260424	0.7546168758289972
0.888888888888889	0.9428090415820634	0.7901234567901235
0.9090909090909092	0.9534625892455924	0.8264462809917357
0.9292929292929294	0.963998407308295	0.8635853484338335
0.9494949494949496	0.9744203145947593	0.9015406591164169
0.9696969696969697	0.9847319278346619	0.9403122130394859
0.98989898989899	0.9949366763261821	0.9799000102030406
1.0101010101010102	1.005037815259212	1.020304050607081
1.0303030303030305	1.0150384378451047	1.0615243342516074
1.0505050505050506	1.0249414863810766	1.103560861136619
1.0707070707070707	1.0347497623614468	1.146413631262116
1.090909090909091	1.044465935734187	1.1900826446280994
1.1111111111111112	1.0540925533894598	1.234567901234568
1.1313131313131315	1.063632046956621	1.2798694010815228
1.1515151515151516	1.0730867399773196	1.3259871441689626
1.1717171717171717	1.0824588545146516	1.372921130496888
1.191919191919192	1.0917505172516255	1.4206713600652998
1.2121212121212122	1.1009637651263606	1.4692378328741966
1.2323232323232325	1.1101005505463153	1.5186205489235796
1.2525252525252526	1.119162746219357	1.5688195082134477
1.272727272727273	1.1281521496355325	1.6198347107438023
1.292929292929293	1.1370704872299224	1.6716661565146416
1.3131313131313131	1.145919418253881	1.7243138455259668
1.3333333333333335	1.1547005383792517	1.7777777777777781
1.3535353535353536	1.1634153830577252	1.8320579532700747
1.373737373737374	1.1720654306553768	1.8871543720028574
1.393939393939394	1.1806521053804944	1.9430670339761251
1.4141414141414144	1.1891767800211264	1.9997959391898792
1.4343434343434345	1.1976407785072427	2.0573410876441183
1.4545454545454546	1.2060453783110545	2.115702479338843
1.474747474747475	1.2143918126978108	2.174880114274054
1.494949494949495	1.2226812728383039	2.2348739924497503
1.5151515151515154	1.2309149097933274	2.2956841138659327
1.5353535353535355	1.2390938363794468	2.3573104785226002
1.5555555555555556	1.247219128924647	2.419753086419753
1.575757575757576	1.2552918289216957	2.4830119375573925
1.595959595959596	1.263312944586414	2.5470870319355168
1.6161616161616164	1.2712834523274565	2.611978369554128
1.6363636363636365	1.2792042981336627	2.6776859504132235
1.6565656565656568	1.2870763988845637	2.7442097745128056
1.676767676767677	1.2949006435891817	2.8115498418528726
1.696969696969697	1.3026778945578592	2.8797061524334255
1.7171717171717173	1.3104089885114942	2.9486787062544644
1.7373737373737375	1.318094737632215	3.0184675033159887
1.7575757575757578	1.3257359305592338	3.089072543617999
1.777777777777778	1.3333333333333335	3.160493827160494
1.7979797979797982	1.3408876902931872	3.232731353943476
1.8181818181818183	1.3483997249264843	3.3057851239669427
1.8383838383838385	1.3558701406786118	3.379655137230895
1.8585858585858588	1.3632996217214537	3.454341393735334
1.878787878787879	1.3706888336846839	3.5298438934802574
1.8989898989898992	1.3780384243517665	3.6061626364656676
1.9191919191919193	1.3853490243227227	3.683297622691563
1.9393939393939394	1.3926212476455828	3.7612488521579435
1.9595959595959598	1.399855692418315	3.8400163248648105
1.97979797979798	1.407052941362897	3.9196000408121625
2.0	1.4142135623730951	4.0
